time,accel_x,accel_y,accel_z,gyr_x,gyr_y,gyr_z
1,0.24,-0.48,0.81,-126.04,55.97,-107.67
2,0.04,-1.41,0.79,-71.47,100.46,-166.56
3,-0.54,-1.21,0.69,-169.31,401.98,-64.21
4,-0.82,-1.1,0.89,-16.66,221.74,32.96
5,-0.78,-0.97,0.41,330.44,51.03,32.29
6,-0.81,-0.63,0.12,257.32,96.62,74.28
7,-0.62,-0.46,0.14,132.08,34.85,45.1
8,-0.46,-0.33,0.17,143.92,-148.5,16.78
9,-0.17,-0.25,0.11,-100.16,-103.88,50.17
10,-0.35,-0.81,0.83,-284.3,-171.51,99.49
11,0.52,-0.92,1.49,358.95,-281.98,-55.36
12,0.06,-0.33,0.69,100.1,-130.25,-30.21
13,0.25,-0.04,1.26,63.48,-11.96,-21.85
14,0.05,0.05,1.48,67.44,-57.8,-7.39
15,0.05,0.07,0.9,52.43,-48.89,43.52
16,0.19,0.06,0.84,-13.06,20.51,0.85
17,0.1,0.07,1.17,7.93,14.4,10.5
18,0.14,0.14,1.02,24.23,-4.33,-14.34
19,0.11,0.16,1.04,2.56,32.78,-25.33
20,0.03,0.13,1.07,8.0,16.6,8.12
21,0.03,0.17,0.98,33.45,-34.91,7.39
22,0.03,0.2,0.98,18.98,-11.96,1.65
23,0.02,0.24,1.01,50.42,-28.08,48.34
24,0.16,0.36,0.83,128.54,-17.46,50.78
25,-0.11,0.43,0.75,35.95,-3.48,6.77
26,-0.04,0.48,0.81,73.73,93.81,-26.92
27,-0.19,0.56,0.63,-50.78,226.75,-16.05
28,-0.43,0.56,0.8,-53.96,57.62,-60.73
29,-0.53,0.31,0.66,-37.05,-58.41,-30.82
30,-0.69,0.29,0.76,-29.36,-4.15,37.9
31,-0.21,0.26,0.87,74.1,-261.11,-114.26
32,-0.63,0.1,0.64,17.03,-36.56,132.45
33,-0.03,0.24,0.78,-49.19,-21.42,110.6
34,0.74,0.64,1.71,-17.76,65.19,159.3
35,0.51,0.39,1.67,142.64,-17.64,-122.62
36,0.18,-0.01,1.21,218.57,-16.11,-217.96
37,-0.19,-0.21,0.78,230.53,-53.47,-230.65
38,-0.77,-0.14,0.4,191.1,-51.27,-207.58
39,-1.27,-0.12,0.4,126.46,-12.94,-185.85
40,-1.45,-0.23,-0.21,81.18,-41.87,-57.56
41,-1.64,-0.26,-0.16,-59.2,-8.3,30.94
42,-1.2,-0.42,0.17,-102.54,-36.8,104.49
43,-0.5,-0.05,0.81,-133.48,14.16,291.63
44,-0.19,-0.06,0.93,-136.47,83.86,286.25
45,0.11,0.1,1.14,-147.03,123.29,219.24
46,0.33,0.32,1.27,-113.59,86.12,180.36
47,1.44,0.61,1.5,-20.87,18.25,145.2
48,0.67,0.49,1.31,44.31,-18.68,-97.9
49,0.34,0.26,1.27,109.38,-64.7,-194.64
50,-0.14,0.14,1.17,147.77,-69.89,-231.93
51,-0.56,-0.04,0.64,182.86,-67.87,-257.87
52,-0.75,0.02,0.46,133.67,-29.42,-209.35
53,-1.05,-0.1,0.23,89.6,-34.42,-188.48
54,-1.55,-0.16,-0.01,50.17,-57.8,-79.96
55,-1.86,-0.25,0.03,-60.79,-17.52,73.43
56,-1.2,-0.15,0.15,-105.04,-24.11,193.24
57,-0.77,-0.1,0.68,-157.96,24.66,270.87
58,-0.23,-0.07,1.0,-150.45,61.46,306.88
